Timestamp,Open,High,Low,Close,Volume
2020-08-09,397.39,400.35,381.06,390.33,44561.72836084
2020-08-10,390.32,400.0,384.97,395.9,53652.14367132
2020-08-11,395.91,398.38,367.0,378.97,109239.48571141
2020-08-12,378.96,389.47,364.25,387.15,62909.79898386
2020-08-13,387.17,432.22,376.78,424.87,154367.66375891
2020-08-14,425.57,445.08,418.1,438.68,92451.03815641
2020-08-15,438.73,443.54,427.0,432.39,46133.47654597
2020-08-16,432.52,437.49,412.48,433.67,64246.01812903
2020-08-17,433.99,447.44,420.51,431.35,70593.77772776
2020-08-18,431.34,434.2,412.11,422.62,77628.45601165
2020-08-19,422.61,426.5,393.33,407.57,91227.61399911
2020-08-20,407.57,419.54,402.48,416.2,58454.61391948
2020-08-21,416.3,419.08,385.0,387.83,85385.53125803
2020-08-22,387.84,396.9,378.98,395.52,57008.74326452
2020-08-23,395.5,397.09,383.73,390.64,28001.41469343
2020-08-24,390.77,410.98,387.61,407.92,66322.98635652
2020-08-25,407.92,409.15,370.05,383.01,112721.29479894
2020-08-26,382.98,393.56,377.18,385.71,72131.19472743
2020-08-27,385.91,396.85,371.6,383.16,61708.64859145
2020-08-28,383.16,398.32,380.01,395.56,45660.17868569
2020-08-29,395.35,405.87,392.3,398.69,46298.21519638
2020-08-30,398.39,429.5,398.39,428.72,62024.75826499
2020-08-31,429.14,439.0,417.77,433.98,61101.49408447
2020-09-01,434.0,489.57,428.68,475.81,133872.90707915
2020-09-02,475.76,481.0,422.0,439.81,171821.39983916
2020-09-03,440.47,450.0,371.21,382.43,227343.47213929
2020-09-04,382.22,400.79,360.9,385.82,139522.49112394
2020-09-05,385.61,394.8,311.04,335.38,279027.02859385
2020-09-06,334.88,359.9,316.6,352.51,123832.60688844
2020-09-07,352.5,358.5,323.4,353.39,91139.52678844
2020-09-08,353.4,356.41,325.64,337.25,92707.97233698
2020-09-09,337.24,359.0,330.77,351.29,67152.72320001
2020-09-10,351.08,377.77,350.8,368.23,100388.15458008
2020-09-11,367.98,375.29,355.64,373.88,59017.27832861
